sortby,weekday,time,jamp,tablename,VD,direct,road,position,city,district,newdirect
0,0,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,8,0.4894,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,9,0.6809,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,10,0.766,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,11,0.8085,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,12,0.8085,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,13,0.6596,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,14,0.4468,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,15,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,16,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,17,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,18,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,19,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,20,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,21,0.7021,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,22,0.2553,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,0,23,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,8,0.4681,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,9,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,10,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,11,0.8723,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,12,0.8723,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,13,0.7021,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,14,0.6383,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,15,0.8723,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,16,0.913,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,17,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,18,0.9362,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,19,0.9362,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,20,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,21,0.7021,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,22,0.2979,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,1,23,0.0426,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,2,0.0213,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,8,0.4889,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,9,0.8478,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,10,0.8696,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,11,0.9348,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,12,0.913,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,13,0.6889,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,14,0.5556,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,15,0.8913,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,16,0.9783,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,17,0.9348,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,18,0.9783,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,19,0.9783,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,20,0.9565,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,21,0.8261,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,22,0.3913,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,2,23,0.0652,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,8,0.5227,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,9,0.8636,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,10,0.8864,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,11,0.9348,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,12,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,13,0.7872,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,14,0.7234,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,15,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,16,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,17,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,18,0.9787,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,19,0.9787,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,20,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,21,0.7234,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,22,0.3261,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,3,23,0.087,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,1,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,2,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,3,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,8,0.383,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,9,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,10,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,11,0.8298,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
